score_v2,listing_id,title,state,industry,asking_price,cash_flow_sde,gross_revenue,sde_multiple,sde_margin,employees,location,flags_v2,url
27,2488426,Very Profitable window and blind washing business,california,cleaning,,160000,,,,,"Antelope, CA",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/very-profitable-window-and-blind-washing-business/2488426/
27,2265468,"Window Cleaning Business for Sale - Bay Area, CA. Very Profitable!",california,cleaning,,400000,,,,,"Window Cleaning Business for Sale - Bay Area, CA",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/window-cleaning-business-for-sale-bay-area-ca-very-profitable/2265468/
27,2462044,Highly Profitable Restoration Business Part of National Franchise,california,cleaning,,558147,,,,,"Northridge, CA",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/highly-profitable-restoration-business-part-of-national-franchise/2462044/
27,2449266,Heaven's Best Carpet and Upholstery Cleaning Franchise,california,cleaning,,,,,,,"Sacramento County, CA",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/heavens-best-carpet-and-upholstery-cleaning-franchise/2449266/
27,2493309,Cleaning & Janitorial Services,california,cleaning,,235726,,,,,"Palm Springs, CA",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/cleaning-and-janitorial-services/2493309/
27,2492985,Profitable Malibu Junk Removal Business + Low Mile Dump Truck,california,cleaning,,,,,,,"Malibu, CA",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/profitable-malibu-junk-removal-business-low-mile-dump-truck/2492985/
27,2467967,Profitable Restoration Franchise,california,cleaning,,,,,,,"Glendale, CA",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/profitable-restoration-franchise/2467967/
27,2482993,Profitable 20+ Yr Gutter & Window Cleaning Business $107K SDE – Davis,california,cleaning,,107000,,,,,"Davis, CA",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/profitable-20-yr-gutter-and-window-cleaning-business-107k-sde-davis/2482993/
27,2423546,Profitable Carpet & Upholstery Cleaning Business – SF North Bay,california,cleaning,,95000,,,,,"Sonoma County, CA",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/profitable-carpet-and-upholstery-cleaning-business-sf-north-bay/2423546/
27,2390350,Award winning franchise with proven track record of success,california,cleaning,,,,,,,"Los Angeles, CA",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/award-winning-franchise-with-proven-track-record-of-success/2390350/
27,2480086,Established Pressure Washing & Facility Services Business – $1.5M+ Ann,california,cleaning,,,,,,,"Sacramento County, CA",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/established-pressure-washing-and-facility-services-business-1-5m-ann/2480086/
27,2474148,Established Carpet Cleaning Business,california,cleaning,,80000,,,,,"El Cajon, CA",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/established-carpet-cleaning-business/2474148/
27,2470625,Highly Profitable Residential Service Business in Los Angeles,california,cleaning,,664000,,,,,"Los Angeles, CA",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/highly-profitable-residential-service-business-in-los-angeles/2470625/
27,2465258,Established Exterior Cleaning Business – 5-Star Reviews & High-Ticket,california,cleaning,,,,,,,"Fortuna, CA",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/established-exterior-cleaning-business-5-star-reviews-and-high-ticket/2465258/
27,2366869,Profitable SD Commercial Janitorial Service Franchise,california,cleaning,,136000,,,,,"San Diego, CA",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/profitable-sd-commercial-janitorial-service-franchise/2366869/
27,2434961,25 Year Established Window Washing Company,california,cleaning,,100000,,,,,"Castaic, CA",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/25-year-established-window-washing-company/2434961/
27,2355523,"Carpet, Tile and Upholstery Steam Cleaning Business",california,cleaning,,60000,,,,,,no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/carpet-tile-and-upholstery-steam-cleaning-business/2355523/
27,2419672,NY Hudson Valley HVAC Contractor - Commercial and Residential,new-york,hvac,,600000,,,,,"Orange County, NY",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/ny-hudson-valley-hvac-contractor-commercial-and-residential/2419672/
27,2433900,Profitable Restoration Franchise with Scalable Service Area,new-york,cleaning,,638949,,,,,"Ozone Park, NY",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/profitable-restoration-franchise-with-scalable-service-area/2433900/
27,2197429,Remotely Run Domestic Cleaning Business,new-york,cleaning,,,,,,,"Richmond County, NY",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/remotely-run-domestic-cleaning-business/2197429/
27,2495782,Scalable Floor Care & Restoration Company,new-york,cleaning,,524156,,,,,"Buffalo, NY",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/scalable-floor-care-and-restoration-company/2495782/
27,2487466,High Margin Window & Gutter Cleaning Business w/ Expansion Opportunity,new-york,cleaning,,135000,,,,,"Nassau County, NY",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/high-margin-window-and-gutter-cleaning-business-w-expansion-opportunity/2487466/
27,2485201,* POOL SERVICE - CASH COW - Earn $ Day 1 *,new-york,cleaning,,,,,,,"Staten Island, NY",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/pool-service-cash-cow-earn-day-1/2485201/
27,2483020,"Exterior Cleaning Business (Power wash, Soft Wash, Window Wash)",new-york,cleaning,,,,,,,"Dutchess County, NY",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/exterior-cleaning-business-power-wash-soft-wash-window-wash/2483020/
27,2434345,Growing Profitable Commercial Cleaning Franchise – 30+y Established,new-york,cleaning,,,,,,,"Erie County, NY",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/growing-profitable-commercial-cleaning-franchise-30-y-established/2434345/
27,2256243,Profitable Commercial/Residential Cleaning Company,new-york,cleaning,,232000,,,,,"Oneida County, NY",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/profitable-commercial-residential-cleaning-company/2256243/
27,1953124,High Profit Window Cleaning Business in Cleveland!,ohio,cleaning,,,,,,,"Cleveland, OH",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/high-profit-window-cleaning-business-in-cleveland/1953124/
27,1995882,Window Cleaning Business for Sale - (Very Profitable!),ohio,cleaning,,62000,,,,,"Columbus, OH",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/window-cleaning-business-for-sale-very-profitable/1995882/
27,2469630,Established Commercial and Residential Service Franchise,ohio,cleaning,,57000,,,,,"Cleveland, OH",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/established-commercial-and-residential-service-franchise/2469630/
